category,name,path,used_on_or_route,purpose,when_to_use,notes
"section","VirtualAccounts","src/components/sections/VirtualAccounts.tsx","reusable capability route","Virtual account capability section","Use for multi-currency VBA, local details, funding, and fee messaging","Good when account infrastructure is the focus"
"section","Security","src/components/sections/Security.tsx","reusable capability route","Trust and protection section","Use for encryption, regulation, monitoring, privacy, and safety claims","Keep tone factual and confidence-building"
"section","SendReceive","src/components/sections/SendReceive.tsx","reusable capability route","Payments flow section","Use for send/receive product storytelling","Best for operational money movement narratives"
"section","AppShowcase","src/components/sections/AppShowcase.tsx","reusable capability route","Mobile product showcase section","Use when app screens are the primary storytelling asset","Pairs well with device framing"
"section","CardShowcase","src/components/sections/CardShowcase.tsx","reusable capability route","Card-focused product section","Use for global card experiences and spend control narratives","Strong for visually led card pages"
"section","DockShowcase","src/components/sections/DockShowcase.tsx","experimental or premium product storytelling","Dense visual showcase section","Use when a richer, more premium visual scene is needed","More experimental than simple marketing strips"
"section","FeatureShowcaseSection","src/components/sections/FeatureShowcaseSection.tsx","reusable feature route","Large feature composition section","Use for richer feature storytelling where smaller cards are insufficient","Good source for advanced layout patterns"
"section","BelowBentoSection","src/components/sections/BelowBentoSection.tsx","supporting section","Follow-up section under denser hero or feature arrangements","Use after visually busy compositions to re-stabilize the story","Works as a calmer support band"
"section","HowItWorks","src/components/sections/HowItWorks.tsx","reusable explainer route","Simple three-step explainer","Use when the user journey can be explained in one pass","Clear and straightforward pattern"
"section","TrustSection","src/components/sections/TrustSection.tsx","reusable trust route","Trust value grid","Use for support, regulated partners, fraud monitoring, and reporting reassurance","Works well before FAQs or CTA"
"section","CTA","src/components/sections/CTA.tsx","reusable CTA route","Generic conversion block","Use when a route needs a broad CTA but not a route-specific one","General-purpose CTA section"
"section","HeroPhone","src/components/sections/HeroPhone.tsx","helper for hero systems","Phone visual helper","Use inside hero or showcase sections that need framed app UI","Not usually a full standalone section"
"section","HeroRandomScatter","src/components/sections/HeroRandomScatter.tsx","experimental hero systems","Decorative scatter hero helper","Use for more experimental hero motion or decorative distribution","Apply carefully to avoid visual noise"
"section","TabExplainer","src/components/sections/TabExplainer.tsx","reusable explainer route","Tabbed explainer for key product pillars","Use when content should be segmented into tabs such as Wallet, USD Accounts, Card, Rewards","Good for compact information density"
"section","ItemListCarousel","src/components/sections/ItemListCarousel.tsx","business and reusable carousel patterns","Generic carousel section","Use for horizontally navigable cards or item lists","Useful for repeated content modules"
"section","ListOfUsers","src/components/sections/ListOfUsers.tsx","audience-targeting route or section","Audience segmentation section","Use to show which customer groups benefit from Kosh","Recently depended on animejs during one iteration"
"section","FeatureShowcaseSection","src/components/sections/FeatureShowcaseSection.tsx","feature-led route","Large feature storytelling block","Use when you need a more immersive feature presentation than a simple grid","Can be adapted instead of building from scratch"
"section","FutureSection","src/components/sections/FutureSection.tsx","homepage and idea source","Future-facing breadth section","Use for capability expansion messaging","Also useful as an inspiration source for movement and card rhythm"
"section","faqs-data","src/components/sections/faqs-data.ts","shared data source","FAQ content source","Use when routes or JSON-LD need shared FAQ content","Data-only helper, not a rendered section"
